service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
1961,20111204,20120303,0,0,0,0,0,1,0
1832,20110821,20111203,0,0,1,0,0,0,0
1833,20110821,20111203,1,1,0,1,1,0,0
1830,20110821,20111203,1,1,0,1,1,0,0
1831,20110821,20111203,0,0,0,0,0,0,0
1836,20110821,20111203,1,1,1,1,1,0,0
1837,20110821,20111203,1,0,1,0,1,0,0
1834,20110821,20111203,0,0,1,0,0,0,0
1835,20110821,20111203,0,0,0,0,0,1,0
1838,20110821,20111203,0,0,0,0,0,0,0
1839,20110821,20111203,0,1,0,1,0,0,0
1946,20111204,20120303,1,1,1,1,1,0,0
1947,20111204,20120303,1,1,1,1,1,0,0
1955,20111204,20120303,0,0,0,0,0,0,0
1954,20111204,20120303,1,1,0,1,1,0,0
1957,20111204,20120303,0,0,1,0,0,0,0
1956,20111204,20120303,0,0,0,0,1,0,0
1951,20111204,20120303,1,1,0,1,1,0,0
1950,20111204,20120303,0,0,1,0,0,0,0
1953,20111204,20120303,0,0,0,0,1,0,0
1952,20111204,20120303,0,0,1,0,0,0,0
1959,20111204,20120303,1,1,1,1,1,0,0
1958,20111204,20120303,1,1,1,1,1,0,0
1829,20110821,20111203,1,1,1,1,1,0,0
1828,20110821,20111203,1,1,1,1,1,0,0
1825,20110821,20111203,0,0,1,0,0,0,0
1824,20110821,20111203,1,1,1,1,1,0,0
1827,20110821,20111203,0,0,1,0,0,0,0
1826,20110821,20111203,1,0,1,1,1,0,0
1821,20110821,20111203,0,0,0,0,0,0,0
1820,20110821,20111203,1,1,0,1,1,0,0
1823,20110821,20111203,0,0,0,0,0,0,0
1822,20110821,20111203,0,0,0,0,0,0,1
1858,20110821,20111203,0,0,0,0,0,0,0
1859,20110821,20111203,0,0,1,0,0,0,0
1850,20110821,20111203,0,0,0,0,1,0,0
1851,20110821,20111203,1,0,1,0,1,0,0
1852,20110821,20111203,0,0,0,0,0,0,0
1853,20110821,20111203,0,0,0,0,1,0,0
1854,20110821,20111203,0,1,0,1,0,0,0
1855,20110821,20111203,1,1,1,1,1,0,0
1856,20110821,20111203,0,0,1,0,0,0,0
1857,20110821,20111203,0,0,1,0,0,0,0
1948,20111204,20120303,1,1,1,1,1,0,0
1949,20111204,20120303,1,1,0,1,1,0,0
1849,20110821,20111203,0,0,0,0,0,0,0
1848,20110821,20111203,1,1,1,1,1,0,0
1843,20110821,20111203,0,1,0,0,0,0,0
1842,20110821,20111203,1,1,1,1,1,0,0
1841,20110821,20111203,0,0,1,0,0,0,0
1840,20110821,20111203,0,0,0,0,0,1,0
1847,20110821,20111203,1,1,1,1,1,0,0
1846,20110821,20111203,1,1,0,1,1,0,0
1845,20110821,20111203,1,1,0,1,1,0,0
1844,20110821,20111203,1,0,0,0,0,0,0
1876,20110821,20111203,0,0,1,0,0,0,0
1877,20110821,20111203,1,1,1,1,1,0,0
1874,20110821,20111203,0,0,0,0,0,0,0
1875,20110821,20111203,1,1,0,1,1,0,0
1872,20110821,20111203,0,0,0,0,0,0,0
1873,20110821,20111203,1,1,1,1,1,0,0
1870,20110821,20111203,1,0,0,1,1,0,0
1871,20110821,20111203,0,0,0,0,0,0,0
1878,20110821,20111203,0,0,0,0,0,0,0
1879,20110821,20111203,0,0,0,0,0,0,0
1986,20111204,20120303,1,1,1,1,1,0,0
1987,20111204,20120303,1,0,1,1,1,0,0
1984,20111204,20120303,0,0,0,0,0,0,0
1985,20111204,20120303,1,1,0,1,1,0,0
1982,20111204,20120303,1,1,0,1,1,0,0
1983,20111204,20120303,0,0,1,0,0,0,0
1980,20111204,20120303,1,0,1,0,1,0,0
1981,20111204,20120303,0,0,0,0,0,0,0
1988,20111204,20120303,1,0,1,0,1,0,0
1989,20111204,20120303,1,1,1,1,1,0,0
1861,20110821,20111203,1,1,0,1,1,0,0
1860,20110821,20111203,0,1,0,0,0,0,0
1863,20110821,20111203,1,1,1,1,1,0,0
1862,20110821,20111203,1,1,0,1,0,0,0
1865,20110821,20111203,1,1,1,1,1,0,0
1864,20110821,20111203,1,1,0,1,1,0,0
1867,20110821,20111203,1,1,1,1,1,0,0
1866,20110821,20111203,1,1,0,1,1,0,0
1869,20110821,20111203,0,1,1,0,0,0,0
1868,20110821,20111203,0,0,1,0,0,0,0
1991,20111204,20120303,0,0,1,0,0,0,0
1990,20111204,20120303,1,1,1,1,1,0,0
1993,20111204,20120303,1,1,1,1,1,0,0
1992,20111204,20120303,0,0,0,0,0,0,0
1995,20111204,20120303,0,0,1,0,0,0,0
1994,20111204,20120303,0,0,0,0,0,0,0
1997,20111204,20120303,1,1,1,1,1,0,0
1996,20111204,20120303,0,0,0,0,0,0,0
1999,20111204,20120303,0,1,1,0,0,0,0
1998,20111204,20120303,1,1,0,1,1,0,0
1968,20111204,20120303,0,0,0,0,0,0,0
1969,20111204,20120303,0,0,1,0,0,0,0
1964,20111204,20120303,0,0,1,0,0,0,0
1965,20111204,20120303,0,1,0,0,0,0,0
1966,20111204,20120303,1,1,0,1,1,0,0
1967,20111204,20120303,0,1,0,1,0,0,0
1960,20111204,20120303,1,1,1,1,1,0,0
1819,20110821,20111203,1,1,1,1,0,0,0
1962,20111204,20120303,1,0,0,0,0,0,0
1963,20111204,20120303,0,1,0,0,0,0,0
1882,20110821,20111203,0,0,0,0,0,0,0
1881,20110821,20111203,0,0,0,0,0,0,1
1880,20110821,20111203,0,0,0,0,0,0,0
1979,20111204,20120303,1,1,1,1,1,0,0
1978,20111204,20120303,0,0,1,0,0,0,0
1977,20111204,20120303,0,0,0,0,0,0,1
1976,20111204,20120303,0,0,0,0,0,0,0
1975,20111204,20120303,1,1,1,1,1,0,0
1974,20111204,20120303,1,1,0,1,0,0,0
1973,20111204,20120303,0,0,0,0,0,0,0
1972,20111204,20120303,1,1,1,1,1,0,0
1971,20111204,20120303,1,0,0,1,1,0,0
1970,20111204,20120303,1,1,0,1,1,0,0
2002,20111204,20120303,0,0,0,0,0,0,0
2003,20111204,20120303,0,0,0,0,0,0,0
2000,20111204,20120303,0,0,0,0,0,0,0
2001,20111204,20120303,1,1,0,1,1,0,0
2006,20111204,20120303,0,0,0,0,0,0,1
2007,20111204,20120303,0,1,0,1,0,0,0
2004,20111204,20120303,0,0,1,0,0,0,0
2005,20111204,20120303,0,0,0,0,0,0,0
2008,20111204,20120303,1,1,1,1,0,0,0
