service_id,date,exception_type
1961,20120220,1
1832,20111005,2
1833,20111111,2
1833,20111124,2
1833,20111125,2
1833,20111003,2
1833,20110905,2
1833,20111010,2
1833,20111007,2
1833,20111006,2
1833,20111004,2
1830,20111111,2
1830,20111124,2
1830,20111125,2
1830,20111003,2
1830,20110905,2
1830,20111010,2
1830,20111007,2
1830,20111006,2
1830,20111004,2
1831,20111003,1
1831,20111010,1
1831,20111125,1
1831,20111007,1
1831,20111006,1
1831,20111005,1
1831,20111004,1
1836,20111111,2
1836,20111124,2
1836,20111125,2
1836,20111003,2
1836,20110905,2
1836,20111010,2
1836,20111007,2
1836,20111006,2
1836,20111005,2
1836,20111004,2
1837,20111003,2
1837,20111111,2
1837,20110905,2
1837,20111010,2
1837,20111125,2
1837,20111007,2
1837,20111005,2
1834,20111005,2
1835,20111111,1
1838,20111003,1
1838,20111010,1
1838,20111125,1
1838,20111007,1
1838,20111006,1
1838,20111005,1
1838,20111004,1
1839,20111124,2
1839,20111006,2
1839,20111004,2
1946,20120102,2
1946,20120116,2
1946,20111226,2
1946,20120220,2
1947,20111230,2
1947,20111228,2
1947,20120102,2
1947,20120103,2
1947,20120116,2
1947,20111219,2
1947,20111223,2
1947,20111222,2
1947,20111221,2
1947,20111220,2
1947,20111227,2
1947,20111226,2
1947,20111229,2
1947,20120220,2
1947,20111216,2
1955,20111230,1
1955,20120103,1
1955,20111219,1
1955,20111223,1
1955,20111222,1
1955,20111221,1
1955,20111220,1
1955,20111227,1
1955,20111229,1
1955,20111228,1
1955,20111216,1
1954,20111216,2
1954,20120102,2
1954,20120103,2
1954,20120116,2
1954,20111230,2
1954,20111223,2
1954,20111222,2
1954,20111220,2
1954,20111227,2
1954,20111226,2
1954,20111229,2
1954,20120220,2
1954,20111219,2
1957,20111221,2
1957,20111228,2
1951,20111216,2
1951,20120102,2
1951,20120103,2
1951,20120116,2
1951,20111230,2
1951,20111223,2
1951,20111222,2
1951,20111220,2
1951,20111227,2
1951,20111226,2
1951,20111229,2
1951,20120220,2
1951,20111219,2
1950,20111221,2
1950,20111228,2
1953,20111216,2
1953,20111223,2
1953,20111230,2
1952,20111221,2
1952,20111228,2
1959,20111230,2
1959,20111228,2
1959,20120102,2
1959,20120103,2
1959,20120116,2
1959,20111219,2
1959,20111223,2
1959,20111222,2
1959,20111221,2
1959,20111220,2
1959,20111227,2
1959,20111226,2
1959,20111229,2
1959,20120220,2
1959,20111216,2
1958,20111230,2
1958,20111228,2
1958,20120102,2
1958,20120103,2
1958,20120116,2
1958,20111219,2
1958,20111223,2
1958,20111222,2
1958,20111221,2
1958,20111220,2
1958,20111227,2
1958,20111226,2
1958,20111229,2
1958,20120220,2
1958,20111216,2
1829,20111111,2
1829,20111124,2
1829,20111125,2
1829,20111003,2
1829,20110905,2
1829,20111010,2
1829,20111007,2
1829,20111006,2
1829,20111005,2
1829,20111004,2
1828,20111111,2
1828,20111124,2
1828,20111125,2
1828,20111003,2
1828,20110905,2
1828,20111010,2
1828,20111007,2
1828,20111006,2
1828,20111005,2
1828,20111004,2
1825,20111005,2
1824,20111010,2
1824,20111124,2
1824,20111111,2
1824,20110905,2
1827,20111005,2
1826,20111124,2
1826,20110905,2
1826,20111111,2
1820,20111111,2
1820,20111124,2
1820,20111125,2
1820,20111003,2
1820,20110905,2
1820,20111010,2
1820,20111007,2
1820,20111006,2
1820,20111004,2
1823,20111010,1
1822,20110905,1
1859,20111005,2
1850,20111007,2
1850,20111111,2
1850,20111125,2
1851,20111003,2
1851,20111111,2
1851,20110905,2
1851,20111010,2
1851,20111125,2
1851,20111007,2
1851,20111005,2
1852,20111003,1
1852,20111010,1
1852,20111125,1
1852,20111007,1
1852,20111006,1
1852,20111005,1
1852,20111004,1
1853,20111111,2
1854,20111124,2
1854,20111006,2
1854,20111004,2
1855,20111124,2
1855,20110905,2
1855,20111111,2
1855,20111125,2
1856,20111005,2
1857,20111005,2
1948,20111230,2
1948,20111228,2
1948,20120102,2
1948,20120103,2
1948,20120116,2
1948,20111219,2
1948,20111223,2
1948,20111222,2
1948,20111221,2
1948,20111220,2
1948,20111227,2
1948,20111226,2
1948,20111229,2
1948,20120220,2
1948,20111216,2
1949,20111216,2
1949,20120102,2
1949,20120103,2
1949,20120116,2
1949,20111230,2
1949,20111223,2
1949,20111222,2
1949,20111220,2
1949,20111227,2
1949,20111226,2
1949,20111229,2
1949,20120220,2
1949,20111219,2
1849,20111124,1
1848,20111124,2
1848,20110905,2
1848,20111111,2
1848,20111125,2
1842,20111111,2
1842,20111124,2
1842,20111125,2
1842,20111003,2
1842,20110905,2
1842,20111010,2
1842,20111007,2
1842,20111006,2
1842,20111005,2
1842,20111004,2
1841,20111005,2
1840,20111111,1
1847,20111111,2
1847,20111124,2
1847,20111125,2
1847,20111003,2
1847,20110905,2
1847,20111010,2
1847,20111007,2
1847,20111006,2
1847,20111005,2
1847,20111004,2
1846,20111111,2
1846,20111124,2
1846,20111125,2
1846,20111003,2
1846,20110905,2
1846,20111010,2
1846,20111007,2
1846,20111006,2
1846,20111004,2
1845,20111111,2
1845,20111124,2
1845,20111125,2
1845,20111003,2
1845,20110905,2
1845,20111010,2
1845,20111007,2
1845,20111006,2
1845,20111004,2
1844,20111003,2
1844,20111010,2
1844,20110905,2
1876,20111005,2
1877,20111111,2
1877,20111124,2
1877,20111125,2
1877,20111003,2
1877,20110905,2
1877,20111010,2
1877,20111007,2
1877,20111006,2
1877,20111005,2
1877,20111004,2
1874,20111010,1
1875,20111111,2
1875,20111124,2
1875,20111125,2
1875,20111003,2
1875,20110905,2
1875,20111010,2
1875,20111007,2
1875,20111006,2
1875,20111004,2
1872,20111125,1
1873,20111124,2
1873,20110905,2
1873,20111111,2
1873,20111125,2
1870,20111111,2
1870,20111124,2
1870,20111125,2
1870,20111003,2
1870,20110905,2
1870,20111010,2
1870,20111007,2
1870,20111006,2
1871,20111125,1
1878,20111125,1
1879,20111003,1
1879,20111010,1
1879,20111125,1
1879,20111007,1
1879,20111006,1
1879,20111004,1
1986,20111228,2
1986,20120102,2
1986,20120116,2
1986,20111230,2
1986,20111227,2
1986,20111226,2
1986,20111229,2
1986,20120220,2
1987,20120102,2
1987,20120116,2
1987,20111226,2
1987,20120220,2
1984,20111230,1
1984,20111229,1
1984,20111228,1
1984,20111227,1
1985,20111216,2
1985,20120102,2
1985,20120103,2
1985,20120116,2
1985,20111230,2
1985,20111223,2
1985,20111222,2
1985,20111220,2
1985,20111227,2
1985,20111226,2
1985,20111229,2
1985,20120220,2
1985,20111219,2
1982,20111216,2
1982,20120102,2
1982,20120103,2
1982,20120116,2
1982,20111230,2
1982,20111223,2
1982,20111222,2
1982,20111220,2
1982,20111227,2
1982,20111226,2
1982,20111229,2
1982,20120220,2
1982,20111219,2
1983,20111221,2
1983,20111228,2
1980,20111230,2
1980,20111228,2
1980,20120102,2
1980,20120116,2
1980,20111219,2
1980,20111223,2
1980,20111221,2
1980,20111226,2
1980,20120220,2
1980,20111216,2
1981,20120101,1
1981,20111225,1
1988,20111230,2
1988,20111228,2
1988,20120102,2
1988,20120116,2
1988,20111219,2
1988,20111223,2
1988,20111221,2
1988,20111226,2
1988,20120220,2
1988,20111216,2
1989,20111230,2
1989,20111228,2
1989,20120102,2
1989,20120103,2
1989,20120116,2
1989,20111219,2
1989,20111223,2
1989,20111222,2
1989,20111221,2
1989,20111220,2
1989,20111227,2
1989,20111226,2
1989,20111229,2
1989,20120220,2
1989,20111216,2
1861,20111111,2
1861,20111124,2
1861,20111125,2
1861,20111003,2
1861,20110905,2
1861,20111010,2
1861,20111007,2
1861,20111006,2
1861,20111004,2
1860,20111004,2
1863,20111111,2
1863,20111124,2
1863,20111125,2
1863,20111003,2
1863,20110905,2
1863,20111010,2
1863,20111007,2
1863,20111006,2
1863,20111005,2
1863,20111004,2
1862,20111010,2
1862,20110905,2
1862,20111003,2
1862,20111124,2
1862,20111006,2
1862,20111004,2
1865,20111124,2
1865,20110905,2
1865,20111111,2
1864,20111111,2
1864,20111124,2
1864,20111125,2
1864,20111003,2
1864,20110905,2
1864,20111010,2
1864,20111007,2
1864,20111006,2
1864,20111004,2
1867,20111124,2
1867,20110905,2
1867,20111111,2
1867,20111125,2
1866,20111111,2
1866,20111124,2
1866,20111125,2
1866,20111003,2
1866,20110905,2
1866,20111010,2
1866,20111007,2
1866,20111006,2
1866,20111004,2
1869,20111005,2
1869,20111004,2
1868,20111005,2
1991,20111221,2
1991,20111228,2
1990,20111230,2
1990,20111228,2
1990,20120102,2
1990,20120103,2
1990,20120116,2
1990,20111219,2
1990,20111223,2
1990,20111222,2
1990,20111221,2
1990,20111220,2
1990,20111227,2
1990,20111226,2
1990,20111229,2
1990,20120220,2
1990,20111216,2
1993,20111230,2
1993,20111228,2
1993,20120102,2
1993,20120103,2
1993,20120116,2
1993,20111219,2
1993,20111223,2
1993,20111222,2
1993,20111221,2
1993,20111220,2
1993,20111227,2
1993,20111226,2
1993,20111229,2
1993,20120220,2
1993,20111216,2
1992,20111230,1
1992,20120103,1
1992,20111219,1
1992,20111223,1
1992,20111222,1
1992,20111221,1
1992,20111220,1
1992,20111227,1
1992,20111229,1
1992,20111228,1
1992,20111216,1
1995,20111221,2
1995,20111228,2
1994,20120116,1
1997,20111230,2
1997,20111228,2
1997,20120102,2
1997,20120103,2
1997,20120116,2
1997,20111219,2
1997,20111223,2
1997,20111222,2
1997,20111221,2
1997,20111220,2
1997,20111227,2
1997,20111226,2
1997,20111229,2
1997,20120220,2
1997,20111216,2
1996,20111216,1
1996,20120103,1
1996,20111223,1
1996,20111222,1
1996,20111220,1
1996,20111227,1
1996,20111229,1
1996,20111230,1
1996,20111219,1
1999,20120103,2
1999,20111221,2
1999,20111220,2
1999,20111227,2
1999,20111228,2
1998,20111216,2
1998,20120102,2
1998,20120103,2
1998,20120116,2
1998,20111230,2
1998,20111223,2
1998,20111222,2
1998,20111220,2
1998,20111227,2
1998,20111226,2
1998,20111229,2
1998,20120220,2
1998,20111219,2
1968,20111230,1
1968,20120103,1
1968,20111219,1
1968,20111223,1
1968,20111222,1
1968,20111221,1
1968,20111220,1
1968,20111227,1
1968,20111229,1
1968,20111228,1
1968,20111216,1
1969,20111221,2
1969,20111228,2
1964,20111221,2
1964,20111228,2
1966,20111216,2
1966,20120102,2
1966,20120103,2
1966,20120116,2
1966,20111230,2
1966,20111223,2
1966,20111222,2
1966,20111220,2
1966,20111227,2
1966,20111226,2
1966,20111229,2
1966,20120220,2
1966,20111219,2
1967,20111222,2
1967,20111229,2
1967,20111220,2
1967,20111227,2
1967,20120103,2
1960,20111230,2
1960,20111228,2
1960,20120102,2
1960,20120103,2
1960,20120116,2
1960,20111219,2
1960,20111223,2
1960,20111222,2
1960,20111221,2
1960,20111220,2
1960,20111227,2
1960,20111226,2
1960,20111229,2
1960,20120220,2
1960,20111216,2
1819,20111124,2
1819,20110905,2
1962,20120102,2
1962,20120116,2
1962,20111226,2
1962,20120220,2
1962,20111219,2
1963,20120103,2
1963,20111220,2
1963,20111227,2
1881,20111124,1
1881,20110905,1
1880,20111005,1
1979,20111230,2
1979,20111228,2
1979,20120102,2
1979,20120103,2
1979,20120116,2
1979,20111219,2
1979,20111223,2
1979,20111222,2
1979,20111221,2
1979,20111220,2
1979,20111227,2
