block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
a_52-003_1840,31,0,WAHIAWA - Circle Island,520056,1840,527745
a_A-002_1840,22,0,WAIPAHU,A0060,1840,527744
a_44-001_1840,30,1,WAIPAHU - Leoku Street,440008,1840,527747
a_B-004_1840,23,0,SCHOOL-MIDDLE,B0012,1840,527746
a_433-001_1840,90,0,VILLAGE PARK,4340022,1840,527741
a_432-002_1840,88,0,WEST WAIPAHU - Leoku Street,4320017,1840,527740
a_53-001_1840,32,1,HONOLULU - Ala Moana via Red Hill,530041,1840,527743
a_432-001_1840,88,1,EAST WAIPAHU - Paiwa Street,4320025,1840,527742
a_C-003_1840,40,0,MAKAHA,C0097,1840,527749
a_6-005_1840,6,1,UNIVERSITY - Woodlawn Drive,60120,1840,527748
a_C-007_1882,40,1,ALA MOANA,C0095,1882,534914
b_13-004_1977,12,1,WAIKIKI - Campbell Avenue,130079,1977,546300
b_10-001_1977,10,0,KALIHI KAI,100014,1977,546301
b_15-001_1977,14,0,PACIFIC HEIGHTS,150010,1977,546302
b_4-003_1977,4,0,NUUANU - Dowsett Avenue via UH Manoa,40081,1977,546303
b_414-001_1977,112,0,CommunityAccess! KAPOLEI TC,4140009,1977,546304
b_411-001_1977,85,1,MAKAKILO PANANA ST,4120006,1977,546305
b_432-001_1977,88,0,WEST WAIPAHU - Leoku Street,4320017,1977,546306
b_432-002_1977,88,1,EAST WAIPAHU - Paiwa Street,4320025,1977,546307
b_433-001_1977,89,1,WAIKELE,4330015,1977,546308
b_434-001_1977,90,0,VILLAGE PARK,4340022,1977,546309
b_433-001_1977,89,0,WAIPAHU TRANSIT CENTER,4330022,1977,545969
b_40-005_1977,26,1,HONOLULU - Ala Moana Center,400228,1977,545968
b_2-029_1977,2,1,WAIKIKI - Kapiolani Park,20107,1977,545965
b_432-001_1977,88,1,WAIPAHU TRANSIT CENTER,4320022,1977,545964
b_43-005_1977,29,0,WAIPAHU via H-1 Freeway,430023,1977,545967
b_4-004_1977,4,1,WAIKIKI via UH Manoa,40068,1977,545966
b_411-001_1977,85,0,KAPOLEI TRANSIT CENTER,4120007,1977,545961
b_76-001_1977,46,0,HALEIWA,760003,1977,545960
b_55-028_1977,34,1,KANEOHE - Circle Island,550037,1977,545963
b_31-001_1977,24,0,AIRPORT via Kalihi Transit Center,310020,1977,545962
